maleScore,maleGrade,femaleScore,femaleGrade
8.8,100,9.9,100
8.9,98,9.9,99
8.9,97,9.9,98
8.9,96,10,97
9,95,10,96
9,94,10.1,95
9,93,10.1,94
9.1,92,10.2,93
9.1,91,10.2,92
9.1,90,10.3,91
9.2,89,10.3,90
9.2,88,10.4,89
9.2,87,10.4,88
9.3,86,10.5,87
9.3,85,10.5,86
9.4,84,10.6,85
9.4,83,10.6,84
9.5,82,10.7,83
9.5,81,10.7,82
9.6,80,10.8,81
9.6,79,10.9,80
9.7,78,10.9,79
9.7,77,11,78
9.8,76,11,77
9.8,75,11.1,76
9.9,74,11.2,75
9.9,73,11.2,74
10,72,11.3,73
10,71,11.4,72
10.1,70,11.4,71
10.2,69,11.5,70
10.2,68,11.6,69
10.3,67,11.6,68
10.3,66,11.7,67
10.4,65,11.8,66
10.4,64,11.9,65
10.5,63,11.9,64
10.5,62,12,63
10.6,61,12.1,62
10.7,60,12.1,61
10.7,59,12.2,60
10.8,58,12.3,59
10.8,57,12.3,58
10.9,56,12.4,57
10.9,55,12.5,56
11,54,12.5,55
11,53,12.6,54
11.1,52,12.6,53
11.2,51,12.7,52
11.2,50,12.8,51
11.3,49,12.8,50
11.3,48,12.9,49
11.4,47,13,48
11.4,46,13,47
11.5,45,13.1,46
11.5,44,13.2,45
11.6,43,13.3,44
11.7,42,13.4,43
11.7,41,13.4,42
11.8,40,13.5,41
11.8,39,13.5,40
11.9,38,13.6,39
11.9,37,13.7,38
12,36,13.8,37
12,35,13.9,36
,,13.9,35
,,13.9,34
,,13.9,33
,,13.9,32
,,13.9,31
