maleScore,maleGrade,femaleScore,femaleGrade
285,100,236,100
283,99,234,99
281,98,232,98
279,97,230,97
277,96,228,96
275,95,226,95
273,94,224,94
271,93,222,93
269,92,220,92
267,91,218,91
265,90,216,90
263,89,214,89
261,88,212,88
259,87,210,87
257,86,208,86
255,85,206,85
253,84,204,84
251,83,202,83
248,82,200,82
248,81,199,81
244,80,197,80
242,79,195,79
240,78,193,78
238,77,191,77
236,76,190,76
234,75,188,75
232,74,186,74
230,73,184,73
228,72,182,72
226,71,181,71
224,70,179,70
222,69,177,69
220,68,175,68
218,67,174,67
216,66,172,66
214,65,170,65
212,64,168,64
210,63,166,63
208,62,165,62
206,61,163,61
204,60,161,60
202,59,1589,59
200,58,157,58
198,57,156,57
196,56,154,56
194,55,152,55
192,54,150,54
190,53,148,53
188,52,147,52
185,51,145,51
183,50,143,50
181,49,141,49
179,48,139,48
177,47,138,47
175,46,136,46
173,45,134,45
171,44,132,44
169,43,131,43
167,42,129,42
165,41,127,41
163,40,125,40
161,39,123,39
159,38,122,38
157,37,120,37
155,36,118,36
153,35,118,35
,,118,34
,,118,33
,,118,32
,,118,31
