maleScore,maleGrade,femaleScore,femaleGrade
0,100,2.3,100
0,99,2.3,99
0,98,2.3,98
0,97,2.3,97
0,96,2.3,96
0,95,2.2,95
0,94,2.2,94
0,93,2.2,93
0,92,2.2,92
0,91,2.2,91
0,90,2.1,90
0,89,2.1,89
0,88,2.1,88
0,87,2.1,87
0,86,2.1,86
0,85,2,85
0,84,2,84
0,83,2,83
0,82,2,82
0,81,2,81
0,80,1.5,80
0,79,1.5,79
0,78,1.5,78
0,77,1.5,77
0,76,1.45,76
0,75,1.45,75
0,74,1.45,74
0,73,1.4,73
0,72,1.4,72
0,71,1.4,71
0,70,1.35,70
0,69,1.35,69
0,68,1.35,68
0,67,1.3,67
0,66,1.3,66
0,65,1.3,65
0,64,1.25,64
0,63,1.25,63
0,62,1.25,62
0,61,1.2,61
0,60,1.2,60
0,59,1.2,59
0,58,1.1,58
0,57,1.1,57
0,56,1.1,56
0,55,1,55
0,54,1,54
0,53,1,53
0,52,1,52
0,51,1,51
0,50,0.5,50
0,49,0.5,49
0,48,0.5,48
0,47,0.5,47
0,46,0.5,46
0,45,0.45,45
0,44,0.45,44
0,43,0.45,43
0,42,0.45,42
0,41,0.45,41
0,40,0.4,40
0,39,0.4,39
0,38,0.4,38
0,37,0.4,37
0,36,0.4,36
0,35,0.35,35
0,34,0.35,34
0,33,0.35,33
0,32,0.35,32
0,31,0.3,31
