maleScore,maleGrade,femaleScore,femaleGrade
28,100,0,100
27,99,0,99
27,98,0,98
26,97,0,97
26,96,0,96
25,95,0,95
25,94,0,94
24,93,0,93
24,92,0,92
23,91,0,91
23,90,0,90
22,89,0,89
21,88,0,88
20,87,0,87
20,86,0,86
19,85,0,85
18,84,0,84
18,83,0,83
17,82,0,82
16,81,0,81
15,80,0,80
15,79,0,79
14,78,0,78
13,77,0,77
13,76,0,76
12,75,0,75
12,74,0,74
11,73,0,73
11,72,0,72
10,71,0,71
10,70,0,70
9,69,0,69
9,68,0,68
8,67,0,67
8,66,0,66
8,65,0,65
7,64,0,64
7,63,0,63
6,62,0,62
6,61,0,61
6,60,0,60
5,59,0,59
5,58,0,58
4,57,0,57
4,56,0,56
4,55,0,55
3,54,0,54
3,53,0,53
2,52,0,52
2,51,0,51
2,50,0,50
1,49,0,49
1,48,0,48
1,47,0,47
1,46,0,46
1,45,0,45
1,44,0,44
1,43,0,43
1,42,0,42
1,41,0,41
1,40,0,40
1,39,0,39
1,38,0,38
1,37,0,37
1,36,0,36
1,35,0,35
