maleScore,maleGrade,femaleScore,femaleGrade
0,100,17,100
0,99,17,99
0,98,17,98
0,97,17,97
0,96,17,96
0,95,16,95
0,94,16,94
0,93,16,93
0,92,16,92
0,91,16,91
0,90,15,90
0,89,15,89
0,88,15,88
0,87,15,87
0,86,14,86
0,85,14,85
0,84,14,84
0,83,13,83
0,82,13,82
0,81,13,81
0,80,12,80
0,79,12,79
0,78,12,78
0,77,12,77
0,76,11,76
0,75,11,75
0,74,11,74
0,73,10,73
0,72,10,72
0,71,10,71
0,70,9,70
0,69,9,69
0,68,9,68
0,67,8,67
0,66,8,66
0,65,8,65
0,64,7,64
0,63,7,63
0,62,7,62
0,61,6,61
0,60,6,60
0,59,6,59
0,58,5,58
0,57,5,57
0,56,5,56
0,55,4,55
0,54,4,54
0,53,4,53
0,52,4,52
0,51,4,51
0,50,3,50
0,49,3,49
0,48,3,48
0,47,3,47
0,46,3,46
0,45,2,45
0,44,2,44
0,43,2,43
0,42,2,42
0,41,2,41
0,40,1,40
0,39,1,39
0,38,1,38
0,37,1,37
0,36,1,36
0,35,1,35
,,1,34
,,1,33
,,1,32
,,1,31
