maleScore,maleGrade,femaleScore,femaleGrade
0,100,32,100
0,99,32,99
0,98,32,98
0,97,32,97
0,96,32,96
0,95,31,95
0,94,31,94
0,93,31,93
0,92,31,92
0,91,30,91
0,90,30,90
0,89,30,89
0,88,30,88
0,87,30,87
0,86,29,86
0,85,29,85
0,84,29,84
0,83,28,83
0,82,28,82
0,81,28,81
0,80,27,80
0,79,27,79
0,78,27,78
0,77,27,77
0,76,26,76
0,75,26,75
0,74,26,74
0,73,25,73
0,72,25,72
0,71,25,71
0,70,24,70
0,69,24,69
0,68,24,68
0,67,23,67
0,66,23,66
0,65,23,65
0,64,22,64
0,63,22,63
0,62,22,62
0,61,21,61
0,60,21,60
0,59,21,59
0,58,20,58
0,57,16,57
0,56,14,56
0,55,12,55
0,54,12,54
0,53,12,53
0,52,11,52
0,51,11,51
0,50,10,50
0,49,10,49
0,48,10,48
0,47,9,47
0,46,9,46
0,45,8,45
0,44,8,44
0,43,8,43
0,42,7,42
0,41,7,41
0,40,6,40
0,39,6,39
0,38,6,38
0,37,5,37
0,36,5,36
0,35,5,35
,,5,34
,,4,33
,,3,32
,,3,31
