maleScore,maleGrade,femaleScore,femaleGrade
97,100,77,100
96,99,76,99
95,98,75,98
94,97,74,97
93,96,73,96
92,95,72,95
91,94,71,94
90,93,70,93
89,92,69,92
88,91,68,91
87,90,67,90
85,89,66,89
84,88,65,88
83,87,64,87
82,86,63,86
81,85,62,85
80,84,61,84
78,83,60,83
77,82,59,82
76,81,58,81
75,80,57,80
74,79,56,79
73,78,55,78
71,77,54,77
70,76,53,76
69,75,52,75
68,74,51,74
67,73,50,73
65,72,49,72
64,71,48,71
63,70,47,70
62,69,46,69
61,68,45,68
60,67,44,67
58,66,43,66
57,65,42,65
56,64,41,64
55,63,40,63
54,62,39,62
53,61,38,61
51,60,37,60
50,59,36,59
49,58,35,58
48,57,35,57
47,56,34,56
46,55,33,55
44,54,32,54
43,53,31,53
42,52,31,52
41,51,30,51
40,50,29,50
39,49,29,49
37,48,28,48
36,47,27,47
35,46,27,46
34,45,27,45
33,44,26,44
32,43,26,43
31,42,25,42
30,41,25,41
30,40,25,40
29,39,24,39
29,38,24,38
28,37,24,37
28,36,23,36
27,35,23,35
,,23,34
,,23,33
,,23,32
,,23,31
