maleScore,maleGrade,femaleScore,femaleGrade
13.3,100,15,100
13.3,99,15,99
13.4,98,15,98
13.4,97,15.2,97
14.5,96,15.2,96
14.5,95,15.2,95
14,94,15.2,94
14,93,15.3,93
14.1,92,15.3,92
14.2,91,15.3,91
14.3,90,15.45,90
14.4,89,15.45,89
14.5,88,15.45,88
15,87,15.5,87
15,86,15.5,86
15.1,85,15.55,85
15.1,84,15.55,84
15.2,83,16,83
15.2,82,16,82
15.3,81,16.05,81
15.3,80,16.05,80
15.4,79,16.15,79
15.4,78,16.15,78
15.5,77,16.2,77
15.5,76,16.2,76
16,75,16.3,75
16.1,74,16.3,74
16.2,73,16.4,73
16.3,72,16.4,72
16.4,71,16.5,71
16.5,70,16.5,70
17,69,17,69
17,68,17,68
17.1,67,17.2,67
17.1,66,17.2,66
17.2,65,17.3,65
17.2,64,17.3,64
17.3,63,17.4,63
17.3,62,17.4,62
17.4,61,17.55,61
17.4,60,17.55,60
18,59,18,59
18,58,18,58
18.2,57,18.2,57
18.4,56,18.2,56
18.4,55,18.3,55
18.4,54,18.3,54
18.4,53,18.3,53
18.4,52,18.3,52
18.4,51,18.3,51
19,50,18.3,50
19,49,18.3,49
19,48,18.3,48
19,47,18.3,47
19,46,18.3,46
19,45,18.3,45
19,44,18.3,44
19,43,18.3,43
19,42,18.3,42
19,41,18.3,41
19,40,18.3,40
19,39,18.3,39
19,38,18.3,38
19,37,18.3,37
19,36,18.3,36
19,35,18.3,35
,,18.3,34
,,18.3,33
,,18.3,32
,,18.3,31
